x,y,density,2,3,4,5,6,7,8,9,10
-5.673962,0.0,0.00119179,0.0,-0.0054691,-0.00084272,0.0,0.0,0.01690398,0.00386724,0.00072982,-0.0
-5.673962,0.395943,0.00113722,0.00049565,-0.00521869,-0.00065138,-0.00227453,-0.00056861,0.01613002,0.00298919,0.0004402,0.00703014
-5.673962,0.792877,0.0009876,0.00086196,-0.0045321,-0.00016639,-0.00395551,-0.00078763,0.01400789,0.00076356,-0.00019961,0.01222574
-5.673962,1.191827,0.00077947,0.00102261,-0.003577,0.00039748,-0.00469276,-0.00053389,0.01105584,-0.00182403,-0.00069444,0.01450446
-5.673962,1.593886,0.00055776,0.00097859,-0.00255954,0.00081966,-0.00449072,3.127e-05,0.00791107,-0.00376141,-0.00068241,0.01388
-5.673962,2.000259,0.00036054,0.00079384,-0.0016545,0.00098101,-0.00364292,0.00059892,0.00511376,-0.00450185,-0.00019022,0.01125959
-5.673962,2.412318,0.00020948,0.00055625,-0.0009613,0.00089633,-0.00255264,0.00091998,0.0029712,-0.00411324,0.00044522,0.00788974
-5.673962,2.831681,0.00010866,0.00033871,-0.00049865,0.0006697,-0.00155432,0.00092864,0.00154124,-0.00307322,0.00086733,0.0048041
-5.673962,3.260321,4.987e-05,0.00017897,-0.00022884,0.00041891,-0.00082129,0.00072187,0.00070732,-0.00192239,0.00093256,0.00253847
-5.673962,3.700743,2e-05,8.147e-05,-9.178e-05,0.00022055,-0.00037388,0.00045218,0.00028368,-0.00101208,0.00073003,0.00115561
-5.673962,4.156272,6.89e-06,3.153e-05,-3.163e-05,9.713e-05,-0.0001447,0.00023083,9.775e-05,-0.00044575,0.00044391,0.00044723
-5.673962,4.63156,1.99e-06,1.015e-05,-9.14e-06,3.52e-05,-4.66e-05,9.532e-05,2.825e-05,-0.00016153,0.00021249,0.00014403
-5.673962,5.133596,4.7e-07,2.63e-06,-2.14e-06,1.018e-05,-1.207e-05,3.107e-05,6.6e-06,-4.672e-05,7.896e-05,3.731e-05
-5.673962,5.673962,8e-08,5.2e-07,-3.8e-07,2.23e-06,-2.37e-06,7.61e-06,1.18e-06,-1.022e-05,2.183e-05,7.34e-06
-5.673962,6.275079,1e-08,7e-08,-5e-08,3.3e-07,-3.2e-07,1.27e-06,1.4e-07,-1.52e-06,4.09e-06,9.8e-07
-5.673962,6.99568,0.0,0.0,-0.0,3e-08,-2e-08,1.1e-07,1e-08,-1.2e-07,4.1e-07,7e-08
-5.133596,-6.99568,0.0,-2e-08,-1e-08,1.2e-07,8e-08,-5e-07,3e-08,-4.5e-07,1.83e-06,-2.1e-07
-5.133596,-6.275079,5e-08,-3.1e-07,-1.7e-07,1.49e-06,1.2e-06,-5.69e-06,4.4e-07,-5.75e-06,1.836e-05,-3.06e-06
-5.133596,-5.673962,3.7e-07,-2.33e-06,-1.44e-06,1.001e-05,8.97e-06,-3.418e-05,3.65e-06,-3.859e-05,9.808e-05,-2.281e-05
-5.133596,-5.133596,2.09e-06,-1.182e-05,-8.07e-06,4.574e-05,4.558e-05,-0.00013959,2.052e-05,-0.00017643,0.00035479,-0.00011595
-5.133596,-4.63156,8.95e-06,-4.563e-05,-3.452e-05,0.00015815,0.00017598,-0.00042827,8.781e-05,-0.00060999,0.00095476,-0.00044767
-5.133596,-4.156272,3.097e-05,-0.00014168,-0.00011944,0.00043643,0.00054643,-0.00103714,0.00030383,-0.00168329,0.00199454,-0.00139007
-5.133596,-3.700743,8.986e-05,-0.00036607,-0.0003466,0.00099094,0.00141192,-0.00203172,0.00088171,-0.00382197,0.0032801,-0.0035918
-5.133596,-3.260321,0.00022406,-0.00080414,-0.0008642,0.00188223,0.00310149,-0.00324346,0.00219845,-0.0072596,0.00419011,-0.00788995
-5.133596,-2.831681,0.00048824,-0.00152185,-0.00188309,0.00300902,0.00586964,-0.00417251,0.00479042,-0.01160557,0.00389703,-0.01493189
-5.133596,-2.412318,0.00094122,-0.00249931,-0.0036302,0.00402731,0.00963966,-0.00413359,0.00923494,-0.01553303,0.00200043,-0.02452252
-5.133596,-2.000259,0.00161994,-0.00356682,-0.00624797,0.0044078,0.01375694,-0.00269101,0.01589434,-0.01700054,-0.0008547,-0.03499655
-5.133596,-1.593886,0.00250607,-0.00439691,-0.00966573,0.00368284,0.01695854,-0.00014051,0.02458884,-0.01420441,-0.00306617,-0.04314117
-5.133596,-1.191827,0.00350227,-0.00459473,-0.01350799,0.00178592,0.0177215,0.00239885,0.03436324,-0.00688817,-0.00312021,-0.04508209
-5.133596,-0.792877,0.00443742,-0.00387287,-0.0171148,-0.00074761,0.01493737,0.00353891,0.04353868,0.00288346,-0.00089689,-0.03799949
-5.133596,-0.395943,0.00510967,-0.00222701,-0.01970761,-0.00292675,0.0085894,0.00255481,0.05013459,0.01128824,0.00197789,-0.02185076
-5.133596,0.0,0.00535485,0.0,-0.02065323,-0.00378645,0.0,0.0,0.05254018,0.01460404,0.00327916,-0.0
-5.133596,0.395943,0.00510967,0.00222701,-0.01970761,-0.00292675,-0.0085894,-0.00255481,0.05013459,0.01128824,0.00197789,0.02185076
-5.133596,0.792877,0.00443742,0.00387287,-0.0171148,-0.00074761,-0.01493737,-0.00353891,0.04353868,0.00288346,-0.00089689,0.03799949
-5.133596,1.191827,0.00350227,0.00459473,-0.01350799,0.00178592,-0.0177215,-0.00239885,0.03436324,-0.00688817,-0.00312021,0.04508209
-5.133596,1.593886,0.00250607,0.00439691,-0.00966573,0.00368284,-0.01695854,0.00014051,0.02458884,-0.01420441,-0.00306617,0.04314117
-5.133596,2.000259,0.00161994,0.00356682,-0.00624797,0.0044078,-0.01375694,0.00269101,0.01589434,-0.01700054,-0.0008547,0.03499655
-5.133596,2.412318,0.00094122,0.00249931,-0.0036302,0.00402731,-0.00963966,0.00413359,0.00923494,-0.01553303,0.00200043,0.02452252
-5.133596,2.831681,0.00048824,0.00152185,-0.00188309,0.00300902,-0.00586964,0.00417251,0.00479042,-0.01160557,0.00389703,0.01493189
-5.133596,3.260321,0.00022406,0.00080414,-0.0008642,0.00188223,-0.00310149,0.00324346,0.00219845,-0.0072596,0.00419011,0.00788995
-5.133596,3.700743,8.986e-05,0.00036607,-0.0003466,0.00099094,-0.00141192,0.00203172,0.00088171,-0.00382197,0.0032801,0.0035918
-5.133596,4.156272,3.097e-05,0.00014168,-0.00011944,0.00043643,-0.00054643,0.00103714,0.00030383,-0.00168329,0.00199454,0.00139007
-5.133596,4.63156,8.95e-06,4.563e-05,-3.452e-05,0.00015815,-0.00017598,0.00042827,8.781e-05,-0.00060999,0.00095476,0.00044767
-5.133596,5.133596,2.09e-06,1.182e-05,-8.07e-06,4.574e-05,-4.558e-05,0.00013959,2.052e-05,-0.00017643,0.00035479,0.00011595
-5.133596,5.673962,3.7e-07,2.33e-06,-1.44e-06,1.001e-05,-8.97e-06,3.418e-05,3.65e-06,-3.859e-05,9.808e-05,2.281e-05
-5.133596,6.275079,5e-08,3.1e-07,-1.7e-07,1.49e-06,-1.2e-06,5.69e-06,4.4e-07,-5.75e-06,1.836e-05,3.06e-06
-5.133596,6.99568,0.0,2e-08,-1e-08,1.2e-07,-8e-08,5e-07,3e-08,-4.5e-07,1.83e-06,2.1e-07
-4.63156,-6.99568,1e-08,-7e-08,-3e-08,3.7e-07,2.2e-07,-1.6e-06,6e-08,-1.19e-06,5.85e-06,-4.5e-07
-4.63156,-6.275079,1.4e-07,-1e-06,-4.6e-07,4.78e-06,3.17e-06,-1.824e-05,9.3e-07,-1.518e-05,5.884e-05,-6.42e-06
-4.63156,-5.673962,1.19e-06,-7.45e-06,-3.79e-06,3.207e-05,2.367e-05,-0.00010955,7.67e-06,-0.00010187,0.00031434,-4.791e-05
-4.63156,-5.133596,6.7e-06,-3.787e-05,-2.129e-05,0.0001466,0.00012032,-0.00044737,4.309e-05,-0.00046572,0.00113706,-0.0002435
-4.63156,-4.63156,2.868e-05,-0.00014623,-9.111e-05,0.00050687,0.00046453,-0.00137257,0.00018439,-0.0016102,0.00305991,-0.00094008
-4.63156,-4.156272,9.924e-05,-0.00045405,-0.00031528,0.00139872,0.00144243,-0.0033239,0.00063804,-0.00444343,0.00639225,-0.00291909
-4.63156,-3.700743,0.000288,-0.00117322,-0.00091492,0.00317584,0.00372707,-0.00651143,0.00185155,-0.01008895,0.01051234,-0.00754262
-4.63156,-3.260321,0.0007181,-0.00257716,-0.00228125,0.00603232,0.00818709,-0.01039491,0.00461665,-0.01916337,0.01342881,-0.01656853
-4.63156,-2.831681,0.00156474,-0.00487734,-0.00497084,0.00964357,0.01549424,-0.0133724,0.01005968,-0.03063552,0.01248952,-0.03135631
-4.63156,-2.412318,0.00301649,-0.00801001,-0.00958273,0.01290706,0.02544606,-0.01324768,0.01939296,-0.04100295,0.00641115,-0.05149621
-4.63156,-2.000259,0.00519171,-0.01143123,-0.01649293,0.01412648,0.03631455,-0.00862437,0.0333774,-0.04487678,-0.00273922,-0.0734912
-4.63156,-1.593886,0.00803167,-0.01409158,-0.02551487,0.01180305,0.0447659,-0.00045032,0.05163546,-0.03749574,-0.0098267,-0.09059453
-4.63156,-1.191827,0.01122437,-0.01472556,-0.03565739,0.00572368,0.04677991,0.00768802,0.07216127,-0.01818288,-0.00999991,-0.09467037
-4.63156,-0.792877,0.01422142,-0.0124121,-0.04517838,-0.00239599,0.03943057,0.01134177,0.09142928,0.00761154,-0.00287442,-0.07979722
