temperature,internal energy,partition function,free energy,chemical entropy
480.31385565363945,-2.250724127090199,4.350655901126e+23,-2.2528621194915104,4.451240321605292e-06
472.2215023209231,-2.250879860535088,1.1047927407195216e+24,-2.2528281534205,4.125802988293233e-06
463.3321897986061,-2.251040840843445,3.192944704205114e+24,-2.2527937220789602,3.78320624836651e-06
454.81769847202844,-2.2511853353460296,9.174703166934205e+24,-2.2527635604399716,3.470016886423058e-06
447.0962908360247,-2.2513083450493294,2.474099711761422e+25,-2.252738557302674,3.1988908936604433e-06
439.19048193477505,-2.2514265643387716,7.083542517513636e+25,-2.252715011870853,2.9336872839441424e-06
431.712246861635,-2.2515313680193807,1.985171513251447e+26,-2.252694673590107,2.6946318506905086e-06
423.8564359411016,-2.251634301086488,6.0949486422196526e+26,-2.252674923788099,2.455130118057046e-06
416.0789848485876,-2.2517291816448175,1.9294096874526197e+27,-2.252657019411617,2.229955851139734e-06
408.6637345339196,-2.2518133274686156,6.030198767366383e+27,-2.2526416142139793,2.0268173448480486e-06
401.7233338034863,-2.2518866707092258,1.820196282122864e+28,-2.2526286844159094,1.8470764435270822e-06
395.2308780440279,-2.2519506892457866,5.299175739466506e+28,-2.252617805011383,1.6879140842895432e-06
388.5404072006864,-2.2520121683405803,1.6545875519874497e+29,-2.2526073954161356,1.5319566884788084e-06
382.03077159479693,-2.252067754954323,5.205256333637113e+29,-2.2525982081608973,1.3885091097767343e-06
376.25443038092106,-2.2521137031032845,1.4878551594534043e+30,-2.2525911264728653,1.2688843799060186e-06
371.1833818444909,-2.252151511296601,3.8432396700810526e+30,-2.252585534275038,1.1692952854731803e-06
366.24720776403376,-2.2521861158537684,9.927523029387428e+30,-2.2525805719996037,1.0770215785221005e-06
360.6798670714019,-2.252222628614179,2.9869294934402513e+31,-2.2525753194572067,9.778500970717078e-07
355.0959989569857,-2.252256664683033,9.334740838588878e+31,-2.252570446609192,8.83653792440303e-07
350.63932638462916,-2.2522820373922254,2.3790304909037425e+32,-2.252567210169678,8.132937636887927e-07
346.29313515194787,-2.252305305070381,6.063203376998177e+32,-2.2525643552360304,7.480661305501549e-07
342.0181341047524,-2.2523268165168027,1.557496253114295e+33,-2.2525618255901874,6.87124599401263e-07
338.16863590339966,-2.2523450581823146,3.7173840127189626e+33,-2.2525597312588297,6.348107237728842e-07
334.13975735724057,-2.2523630432602744,9.440177958508747e+33,-2.25255779395538,5.828420318670614e-07
330.1013307984851,-2.252379973576373,2.45810448138381e+34,-2.2525560686235853,5.334575500986225e-07
325.8068249135858,-2.252396816598789,6.980426176486066e+34,-2.2525544025401016,4.836790676633011e-07
321.3110630523319,-2.2524132177809,2.1448073105725467e+35,-2.2525526932863706,4.3408248737369786e-07
317.1869297974762,-2.2524272008206756,6.176683836009867e+35,-2.2525514796908297,3.9181586149670535e-07
313.36552105954166,-2.2524392882235547,1.6873275495185496e+36,-2.2525505677830773,3.551110509744647e-07
309.3233580531713,-2.252451202753468,5.018714031693302e+36,-2.2525496319296887,3.1820802942335875e-07
305.3637929538478,-2.2524620419435224,1.5012934398472242e+37,-2.2525488463826933,2.8426565681276343e-07
