x,y,density
-1.191827,-0.395943,0.003880454
-1.191827,0.0,0.004342443
-1.191827,0.395943,0.003880454
-1.191827,0.792877,0.002677056
-1.191827,1.191827,0.001272376
-1.191827,1.593886,0.00030793
-1.191827,2.000259,5.851e-06
-1.191827,2.412318,5.3604e-05
-1.191827,2.831681,9.3179e-05
-1.191827,3.260321,5.7439e-05
-1.191827,3.700743,1.8325e-05
-1.191827,4.156272,3.227e-06
-1.191827,4.63156,3.05e-07
-1.191827,5.133596,1.4e-08
-1.191827,5.673962,0.0
-1.191827,6.275079,0.0
-1.191827,6.99568,0.0
-0.792877,-6.99568,0.0
-0.792877,-6.275079,0.0
-0.792877,-5.673962,1e-09
-0.792877,-5.133596,5.8e-08
-0.792877,-4.63156,1.203e-06
-0.792877,-4.156272,1.255e-05
-0.792877,-3.700743,7.3489e-05
-0.792877,-3.260321,0.000256044
-0.792877,-2.831681,0.000543555
-0.792877,-2.412318,0.000688162
-0.792877,-2.000259,0.000457622
-0.792877,-1.593886,8.7039e-05
-0.792877,-1.191827,7.6775e-05
-0.792877,-0.792877,0.000525447
-0.792877,-0.395943,0.001053797
-0.792877,0.0,0.001274291
-0.792877,0.395943,0.001053797
-0.792877,0.792877,0.000525447
-0.792877,1.191827,7.6775e-05
-0.792877,1.593886,8.7039e-05
-0.792877,2.000259,0.000457622
-0.792877,2.412318,0.000688162
-0.792877,2.831681,0.000543555
-0.792877,3.260321,0.000256044
-0.792877,3.700743,7.3489e-05
-0.792877,4.156272,1.255e-05
-0.792877,4.63156,1.203e-06
-0.792877,5.133596,5.8e-08
-0.792877,5.673962,1e-09
-0.792877,6.275079,0.0
-0.792877,6.99568,0.0
-0.395943,-6.99568,0.0
-0.395943,-6.275079,0.0
-0.395943,-5.673962,4e-09
-0.395943,-5.133596,1.82e-07
-0.395943,-4.63156,3.546e-06
-0.395943,-4.156272,3.5733e-05
-0.395943,-3.700743,0.000206519
-0.395943,-3.260321,0.000731736
-0.395943,-2.831681,0.001656694
-0.395943,-2.412318,0.002446367
-0.395943,-2.000259,0.002346606
-0.395943,-1.593886,0.001393721
-0.395943,-1.191827,0.00043568
-0.395943,-0.792877,5.6108e-05
-0.395943,-0.395943,0.000101291
-0.395943,0.0,0.000173004
-0.395943,0.395943,0.000101291
-0.395943,0.792877,5.6108e-05
-0.395943,1.191827,0.00043568
-0.395943,1.593886,0.001393721
-0.395943,2.000259,0.002346606
-0.395943,2.412318,0.002446367
-0.395943,2.831681,0.001656694
-0.395943,3.260321,0.000731736
-0.395943,3.700743,0.000206519
-0.395943,4.156272,3.5733e-05
-0.395943,4.63156,3.546e-06
-0.395943,5.133596,1.82e-07
-0.395943,5.673962,4e-09
-0.395943,6.275079,0.0
-0.395943,6.99568,0.0
0.0,-6.99568,0.0
0.0,-6.275079,0.0
0.0,-5.673962,1e-08
0.0,-5.133596,4.35e-07
0.0,-4.63156,8.053e-06
0.0,-4.156272,7.7972e-05
0.0,-3.700743,0.000439346
0.0,-3.260321,0.001543807
0.0,-2.831681,0.003544207
0.0,-2.412318,0.005481765
0.0,-2.000259,0.005812586
0.0,-1.593886,0.004238155
0.0,-1.191827,0.002085649
0.0,-0.792877,0.000649798
0.0,-0.395943,0.000102067
0.0,0.0,0.0
0.0,0.395943,0.000102067
0.0,0.792877,0.000649798
0.0,1.191827,0.002085649
0.0,1.593886,0.004238155
0.0,2.000259,0.005812586
0.0,2.412318,0.005481765
0.0,2.831681,0.003544207
0.0,3.260321,0.001543807
0.0,3.700743,0.000439346
0.0,4.156272,7.7972e-05
0.0,4.63156,8.053e-06
0.0,5.133596,4.35e-07
0.0,5.673962,1e-08
0.0,6.275079,0.0
0.0,6.99568,0.0
0.395943,-6.99568,0.0
0.395943,-6.275079,0.0
0.395943,-5.673962,2.1e-08
0.395943,-5.133596,8.1e-07
0.395943,-4.63156,1.4249e-05
0.395943,-4.156272,0.000132809
0.395943,-3.700743,0.000729267
0.395943,-3.260321,0.002530053
0.395943,-2.831681,0.005821283
0.395943,-2.412318,0.009192771
0.395943,-2.000259,0.01020245
0.395943,-1.593886,0.008069947
0.395943,-1.191827,0.00455211
0.395943,-0.792877,0.001771121
0.395943,-0.395943,0.000393828
0.395943,0.0,3.1421e-05
0.395943,0.395943,0.000393828
0.395943,0.792877,0.001771121
0.395943,1.191827,0.00455211
0.395943,1.593886,0.008069947
0.395943,2.000259,0.01020245
0.395943,2.412318,0.009192771
0.395943,2.831681,0.005821283
0.395943,3.260321,0.002530053
0.395943,3.700743,0.000729267
0.395943,4.156272,0.000132809
0.395943,4.63156,1.4249e-05
0.395943,5.133596,8.1e-07
0.395943,5.673962,2.1e-08
0.395943,6.275079,0.0
0.395943,6.99568,0.0
0.792877,-6.99568,0.0
0.792877,-6.275079,0.0
0.792877,-5.673962,3.1e-08
0.792877,-5.133596,1.169e-06
0.792877,-4.63156,1.9648e-05
0.792877,-4.156272,0.000177181
0.792877,-3.700743,0.000952243
0.792877,-3.260321,0.003272066
0.792877,-2.831681,0.007553687
0.792877,-2.412318,0.012146432
0.792877,-2.000259,0.013968734
0.792877,-1.593886,0.011690663
0.792877,-1.191827,0.007143145
0.792877,-0.792877,0.003067303
0.792877,-0.395943,0.000739375
0.792877,0.0,4.4121e-05
0.792877,0.395943,0.000739375
0.792877,0.792877,0.003067303
0.792877,1.191827,0.007143145
0.792877,1.593886,0.011690663
0.792877,2.000259,0.013968734
0.792877,2.412318,0.012146432
0.792877,2.831681,0.007553687
0.792877,3.260321,0.003272066
0.792877,3.700743,0.000952243
0.792877,4.156272,0.000177181
0.792877,4.63156,1.9648e-05
0.792877,5.133596,1.169e-06
0.792877,5.673962,3.1e-08
0.792877,6.275079,0.0
0.792877,6.99568,0.0
1.191827,-6.99568,0.0
1.191827,-6.275079,0.0
1.191827,-5.673962,3.7e-08
1.191827,-5.133596,1.297e-06
1.191827,-4.63156,2.0965e-05
1.191827,-4.156272,0.00018401
1.191827,-3.700743,0.000973567
1.191827,-3.260321,0.003331639
1.191827,-2.831681,0.00775443
1.191827,-2.412318,0.012741854
1.191827,-2.000259,0.015197319
1.191827,-1.593886,0.013399947
1.191827,-1.191827,0.008749214
1.191827,-0.792877,0.004034729
1.191827,-0.395943,0.001013537
1.191827,0.0,3.1199e-05
1.191827,0.395943,0.001013537
1.191827,0.792877,0.004034729
1.191827,1.191827,0.008749214
1.191827,1.593886,0.013399947
1.191827,2.000259,0.015197319
1.191827,2.412318,0.012741854
1.191827,2.831681,0.00775443
1.191827,3.260321,0.003331639
1.191827,3.700743,0.000973567
1.191827,4.156272,0.00018401
1.191827,4.63156,2.0965e-05
1.191827,5.133596,1.297e-06
1.191827,5.673962,3.7e-08
1.191827,6.275079,0.0
1.191827,6.99568,0.0
1.593886,-6.99568,0.0
1.593886,-6.275079,0.0
1.593886,-5.673962,3.2e-08
1.593886,-5.133596,1.092e-06
1.593886,-4.63156,1.7085e-05
1.593886,-4.156272,0.000146806
1.593886,-3.700743,0.000769022
1.593886,-3.260321,0.002635217
1.593886,-2.831681,0.006214382
1.593886,-2.412318,0.010474593
1.593886,-2.000259,0.012979874
1.593886,-1.593886,0.012036111
1.593886,-1.191827,0.008338519
1.593886,-0.792877,0.004079648
1.593886,-0.395943,0.001062297
1.593886,0.0,1.5495e-05
1.593886,0.395943,0.001062297
1.593886,0.792877,0.004079648
1.593886,1.191827,0.008338519
1.593886,1.593886,0.012036111
1.593886,2.000259,0.012979874
1.593886,2.412318,0.010474593
1.593886,2.831681,0.006214382
1.593886,3.260321,0.002635217
1.593886,3.700743,0.000769022
1.593886,4.156272,0.000146806
1.593886,4.63156,1.7085e-05
1.593886,5.133596,1.092e-06
1.593886,5.673962,3.2e-08
1.593886,6.275079,0.0
1.593886,6.99568,0.0
2.000259,-6.99568,0.0
2.000259,-6.275079,0.0
2.000259,-5.673962,2.1e-08
2.000259,-5.133596,6.86e-07
2.000259,-4.63156,1.0437e-05
2.000259,-4.156272,8.8255e-05
2.000259,-3.700743,0.000459964
2.000259,-3.260321,0.001585286
2.000259,-2.831681,0.003801502
2.000259,-2.412318,0.00658783
2.000259,-2.000259,0.008482417
2.000259,-1.593886,0.008246333
2.000259,-1.191827,0.006019038
2.000259,-0.792877,0.003093616
2.000259,-0.395943,0.000831549
2.000259,0.0,5.849e-06
2.000259,0.395943,0.000831549
2.000259,0.792877,0.003093616
2.000259,1.191827,0.006019038
2.000259,1.593886,0.008246333
2.000259,2.000259,0.008482417
2.000259,2.412318,0.00658783
2.000259,2.831681,0.003801502
2.000259,3.260321,0.001585286
2.000259,3.700743,0.000459964
2.000259,4.156272,8.8255e-05
2.000259,4.63156,1.0437e-05
2.000259,5.133596,6.86e-07
2.000259,5.673962,2.1e-08
2.000259,6.275079,0.0
2.000259,6.99568,0.0
2.412318,-6.99568,0.0
2.412318,-6.275079,0.0
2.412318,-5.673962,1e-08
2.412318,-5.133596,3.14e-07
2.412318,-4.63156,4.665e-06
2.412318,-4.156272,3.8983e-05
2.412318,-3.700743,0.000202913
2.412318,-3.260321,0.000705595
2.412318,-2.831681,0.001724155
2.412318,-2.412318,0.003073627
2.412318,-2.000259,0.004105551
2.412318,-1.593886,0.004166217
2.412318,-1.191827,0.003180907
2.412318,-0.792877,0.001702752
2.412318,-0.395943,0.00047013
2.412318,0.0,1.684e-06
2.412318,0.395943,0.00047013
2.412318,0.792877,0.001702752
2.412318,1.191827,0.003180907
2.412318,1.593886,0.004166217
2.412318,2.000259,0.004105551
2.412318,2.412318,0.003073627
2.412318,2.831681,0.001724155
2.412318,3.260321,0.000705595
2.412318,3.700743,0.000202913
2.412318,4.156272,3.8983e-05
2.412318,4.63156,4.665e-06
2.412318,5.133596,3.14e-07
2.412318,5.673962,1e-08
2.412318,6.275079,0.0
2.412318,6.99568,0.0
2.831681,-6.99568,0.0
2.831681,-6.275079,0.0
2.831681,-5.673962,3e-09
2.831681,-5.133596,1.01e-07
2.831681,-4.63156,1.479e-06
2.831681,-4.156272,1.2256e-05
2.831681,-3.700743,6.389e-05
2.831681,-3.260321,0.00022458
2.831681,-2.831681,0.000559621
2.831681,-2.412318,0.001025455
2.831681,-2.000259,0.001417101
2.831681,-1.593886,0.001493795
2.831681,-1.191827,0.001185056
2.831681,-0.792877,0.000655939
2.831681,-0.395943,0.000185156
2.831681,0.0,3.59e-07
2.831681,0.395943,0.000185156
2.831681,0.792877,0.000655939
2.831681,1.191827,0.001185056
2.831681,1.593886,0.001493795
2.831681,2.000259,0.001417101
2.831681,2.412318,0.001025455
2.831681,2.831681,0.000559621
2.831681,3.260321,0.00022458
2.831681,3.700743,6.389e-05
2.831681,4.156272,1.2256e-05
2.831681,4.63156,1.479e-06
2.831681,5.133596,1.01e-07
2.831681,5.673962,3e-09
2.831681,6.275079,0.0
2.831681,6.99568,0.0
3.260321,-6.99568,0.0
3.260321,-6.275079,0.0
3.260321,-5.673962,1e-09
3.260321,-5.133596,2.2e-08
3.260321,-4.63156,3.2e-07
3.260321,-4.156272,2.635e-06
3.260321,-3.700743,1.3783e-05
3.260321,-3.260321,4.9019e-05
3.260321,-2.831681,0.000124536
3.260321,-2.412318,0.000234184
3.260321,-2.000259,0.00033374
3.260321,-1.593886,0.000363702
3.260321,-1.191827,0.000298048
3.260321,-0.792877,0.000169584
3.260321,-0.395943,4.8747e-05
3.260321,0.0,5.4e-08
3.260321,0.395943,4.8747e-05
3.260321,0.792877,0.000169584
3.260321,1.191827,0.000298048
3.260321,1.593886,0.000363702
3.260321,2.000259,0.00033374
3.260321,2.412318,0.000234184
3.260321,2.831681,0.000124536
3.260321,3.260321,4.9019e-05
3.260321,3.700743,1.3783e-05
3.260321,4.156272,2.635e-06
3.260321,4.63156,3.2e-07
3.260321,5.133596,2.2e-08
3.260321,5.673962,1e-09
3.260321,6.275079,0.0
3.260321,6.99568,0.0
3.700743,-6.99568,0.0
3.700743,-6.275079,0.0
3.700743,-5.673962,0.0
3.700743,-5.133596,3e-09
3.700743,-4.63156,4.5e-08
3.700743,-4.156272,3.68e-07
3.700743,-3.700743,1.934e-06
3.700743,-3.260321,6.962e-06
3.700743,-2.831681,1.8016e-05
3.700743,-2.412318,3.4696e-05
3.700743,-2.000259,5.0822e-05
3.700743,-1.593886,5.7008e-05
3.700743,-1.191827,4.8019e-05
3.700743,-0.792877,2.7954e-05
3.700743,-0.395943,8.157e-06
3.700743,0.0,5e-09
3.700743,0.395943,8.157e-06
3.700743,0.792877,2.7954e-05
3.700743,1.191827,4.8019e-05
3.700743,1.593886,5.7008e-05
3.700743,2.000259,5.0822e-05
3.700743,2.412318,3.4696e-05
3.700743,2.831681,1.8016e-05
3.700743,3.260321,6.962e-06
3.700743,3.700743,1.934e-06
3.700743,4.156272,3.68e-07
3.700743,4.63156,4.5e-08
3.700743,5.133596,3e-09
3.700743,5.673962,0.0
3.700743,6.275079,0.0
3.700743,6.99568,0.0
4.156272,-6.99568,0.0
4.156272,-6.275079,0.0
4.156272,-5.673962,0.0
4.156272,-5.133596,0.0
4.156272,-4.63156,4e-09
4.156272,-4.156272,3.1e-08
4.156272,-3.700743,1.65e-07
4.156272,-3.260321,6.01e-07
4.156272,-2.831681,1.582e-06
4.156272,-2.412318,3.113e-06
